graph name, algorithm, score, time
LFR_N5000_ad5_mc50_mu0.5_i5, label propagation, 3.312180960020225e-16, 2.814342804995249
LFR_N5000_ad5_mc50_mu0.5_i5, infomap, 0.9221741559760828, 0.6906731210037833
LFR_N5000_ad5_mc50_mu0.5_i5, louvain, 0.7589481812548854, 1.9667926830006763
LFR_N5000_ad5_mc50_mu0.5_i5, leiden, 0.6608698472152814, 0.7504533739993349
LFR_N50000_ad5_mc50_mu0.5_i7, label propagation, 0.9501785753945762, 31.485186056997918
LFR_N50000_ad5_mc50_mu0.5_i7, infomap, 0.9635233286752034, 11.043904277998081
LFR_N50000_ad5_mc50_mu0.5_i7, louvain, 0.7267252036430295, 41.62453782699595
LFR_N50000_ad5_mc50_mu0.5_i7, leiden, 0.6895891352863506, 10.577603868005099
LFR_N1000_ad5_mc50_mu0.5_i11, label propagation, 0.0, 0.39834685000096215
LFR_N1000_ad5_mc50_mu0.5_i11, infomap, 0.0, 0.09346234000258846
LFR_N1000_ad5_mc50_mu0.5_i11, louvain, 0.6859420631128801, 0.3029006910001044
LFR_N1000_ad5_mc50_mu0.5_i11, leiden, 0.5613743477843485, 0.15195491800113814
LFR_N5000_ad5_mc50_mu0.5_i8, label propagation, 3.1101393854886214e-16, 1.706771454999398
LFR_N5000_ad5_mc50_mu0.5_i8, infomap, 0.9199876319117468, 0.6829930940002669
LFR_N5000_ad5_mc50_mu0.5_i8, louvain, 0.7541251680032371, 2.0568676219991175
LFR_N5000_ad5_mc50_mu0.5_i8, leiden, 0.6636411406168268, 0.7545967379992362
LFR_N10000_ad5_mc50_mu0.5_i18, label propagation, 0.910471665355057, 5.979186222997669
LFR_N10000_ad5_mc50_mu0.5_i18, infomap, 0.9463655998303316, 1.5578163139944081
LFR_N10000_ad5_mc50_mu0.5_i18, louvain, 0.7711157713914648, 4.40413036600512
LFR_N10000_ad5_mc50_mu0.5_i18, leiden, 0.6877178563204288, 1.6132693640029174
LFR_N1000000_ad5_mc50_mu0.5_i29, label propagation, 0.969604896422635, 981.6498747939986
LFR_N1000000_ad5_mc50_mu0.5_i29, infomap, 0.9703140584595179, 446.7743266489997
LFR_N1000000_ad5_mc50_mu0.5_i29, louvain, 0.5680349778490894, 1265.2780652950023
LFR_N1000000_ad5_mc50_mu0.5_i29, leiden, 0.6796848481776185, 312.6706196570012
LFR_N10000_ad5_mc50_mu0.5_i5, label propagation, 0.8991167171241709, 8.3111118300003
LFR_N10000_ad5_mc50_mu0.5_i5, infomap, 0.940341355741267, 1.5883136299962644
LFR_N10000_ad5_mc50_mu0.5_i5, louvain, 0.763531433979783, 4.8063495099995635
LFR_N10000_ad5_mc50_mu0.5_i5, leiden, 0.6836452628453334, 1.6736636429995997
LFR_N5000_ad5_mc50_mu0.5_i4, label propagation, 3.235491297043705e-16, 1.8440975679986877
LFR_N5000_ad5_mc50_mu0.5_i4, infomap, 0.9226217962476215, 0.6907835730016814
LFR_N5000_ad5_mc50_mu0.5_i4, louvain, 0.7643069837601673, 2.1272133299935376
LFR_N5000_ad5_mc50_mu0.5_i4, leiden, 0.6623252661723923, 0.8128989629985881
LFR_N5000_ad5_mc50_mu0.5_i3, label propagation, 0.8643081302087143, 2.3694095329992706
LFR_N5000_ad5_mc50_mu0.5_i3, infomap, 0.9385012591844276, 0.6918560740014073
LFR_N5000_ad5_mc50_mu0.5_i3, louvain, 0.769869560915134, 2.768346297998505
LFR_N5000_ad5_mc50_mu0.5_i3, leiden, 0.68765097307342, 0.8039933000036399
LFR_N10000_ad5_mc50_mu0.5_i27, label propagation, 0.8928217173913379, 6.812044234997302
LFR_N10000_ad5_mc50_mu0.5_i27, infomap, 0.9409835931103496, 1.6170780360043864
LFR_N10000_ad5_mc50_mu0.5_i27, louvain, 0.7518343253752475, 5.02739179499622
LFR_N10000_ad5_mc50_mu0.5_i27, leiden, 0.6712640591634171, 1.655231445998652
LFR_N1000_ad5_mc50_mu0.5_i3, label propagation, 0.0, 0.25933224999607773
LFR_N1000_ad5_mc50_mu0.5_i3, infomap, 0.0, 0.09891263500321656
LFR_N1000_ad5_mc50_mu0.5_i3, louvain, 0.6688021091213041, 0.3346891399996821
LFR_N1000_ad5_mc50_mu0.5_i3, leiden, 0.6115279399953838, 0.14997860599396518
LFR_N50000_ad5_mc50_mu0.5_i16, label propagation, 0.950216849754598, 30.522712383004546
LFR_N50000_ad5_mc50_mu0.5_i16, infomap, 0.962373300933668, 11.571276319002209
LFR_N50000_ad5_mc50_mu0.5_i16, louvain, 0.7292364587047144, 32.135372231001384
LFR_N50000_ad5_mc50_mu0.5_i16, leiden, 0.686026537999525, 9.522331366002618
LFR_N10000_ad5_mc50_mu0.5_i8, label propagation, 0.908959027276964, 6.9032511210025405
LFR_N10000_ad5_mc50_mu0.5_i8, infomap, 0.9485083952484005, 1.6232178339996608
LFR_N10000_ad5_mc50_mu0.5_i8, louvain, 0.7622651815443876, 4.932913910000934
LFR_N10000_ad5_mc50_mu0.5_i8, leiden, 0.6950362704197164, 1.6753383390023373
LFR_N5000_ad5_mc50_mu0.5_i10, label propagation, 3.516645785933871e-16, 2.370043984003132
LFR_N5000_ad5_mc50_mu0.5_i10, infomap, 0.9125206405362004, 0.7215070099991863
LFR_N5000_ad5_mc50_mu0.5_i10, louvain, 0.7632338464578471, 1.9430757360023563
LFR_N5000_ad5_mc50_mu0.5_i10, leiden, 0.6522067951328403, 0.8227981210002326
LFR_N500_ad5_mc50_mu0.5_i8, label propagation, 0.0, 0.10660888900019927
LFR_N500_ad5_mc50_mu0.5_i8, infomap, 0.0, 0.04372494699782692
LFR_N500_ad5_mc50_mu0.5_i8, louvain, 0.5479422778527417, 0.2032754340034444
